城市,AQI,级别,首要污染物
九江市,62,良,PM10
新余市,87,良,PM2.5
鹰潭市,80,良,O3
赣州市,88,良,O3
吉安市,96,良,O3
宜春市,97,良,PM2.5
抚州市,74,良,PM2.5
济南市,108,轻度污染,O3
章丘市,102,轻度污染,O3
青岛市,146,轻度污染,O3
胶州市,146,轻度污染,O3
即墨市,142,轻度污染,O3
平度市,146,轻度污染,O3
胶南市,157,中度污染,O3
莱西市,135,轻度污染,O3
淄博市,131,轻度污染,O3
枣庄市,104,轻度污染,PM10
东营市,88,良,PM10
烟台市,137,轻度污染,O3
莱州市,117,轻度污染,O3
蓬莱市,184,中度污染,O3
招远市,100,良,O3
日照市,114,轻度污染,O3
莱芜市,169,中度污染,O3
临沂市,120,轻度污染,O3
德州市,74,良,O3
聊城市,85,良,PM10
滨州市,76,良,O3
菏泽市,130,轻度污染,O3
郑州市,101,轻度污染,"NO2,PM10"
开封市,115,轻度污染,PM10
洛阳市,89,良,PM10
平顶山市,136,轻度污染,O3
安阳市,94,良,PM10
鹤壁市,86,良,PM10
新乡市,103,轻度污染,NO2
焦作市,100,良,PM10
濮阳市,127,轻度污染,O3
许昌市,113,轻度污染,O3
漯河市,95,良,O3
三门峡市,79,良,PM10
南阳市,84,良,PM2.5
商丘市,102,轻度污染,O3
信阳市,72,良,PM10
周口市,92,良,O3
武汉市,73,良,PM2.5
黄石市,97,良,PM2.5
十堰市,51,良,PM10
宜昌市,47,优,
襄阳市,98,良,PM2.5
鄂州市,85,良,PM2.5
荆门市,63,良,PM2.5
孝感市,57,良,PM2.5
荆州市,47,优,
黄冈市,78,良,PM2.5
咸宁市,89,良,PM2.5
随州市,74,良,PM2.5
恩施州,36,优,
长沙市,93,良,PM2.5
株洲市,94,良,PM2.5
湘潭市,87,良,PM2.5
衡阳市,89,良,O3
邵阳市,98,良,PM2.5
岳阳市,72,良,PM2.5
常德市,48,优,
张家界市,42,优,
益阳市,55,良,"PM10,PM2.5"
郴州市,171,中度污染,O3
永州市,82,良,O3
怀化市,72,良,PM10
娄底市,85,良,PM2.5
湘西州,60,良,PM2.5
广州市,133,轻度污染,O3
韶关市,120,轻度污染,O3
深圳市,76,良,O3
珠海市,60,良,O3
汕头市,103,轻度污染,O3
佛山市,121,轻度污染,O3
江门市,90,良,O3
