,Irank,MovieName,WomIndex,avgboxoffice,avgshowcount,box_pro,boxoffice,days,releaseTime
0,1,战狼2,8.53,36,39,57.6,424048,31,2017-07-27
1,2,三生三世十里桃花,6.53,35,24,7.3,53425,29,2017-08-03
2,3,杀破狼·贪狼,7.71,32,20,6.7,49095,15,2017-08-17
3,4,星际特工：千星之城,7.45,35,19,4.6,34152,7,2017-08-25
4,5,心理罪,7.23,33,20,3.9,29015,21,2017-08-11
5,6,侠盗联盟,6.52,31,21,3.2,23655,21,2017-08-11
6,7,二十二,8.72,30,18,2.3,16830,18,2017-08-14
7,8,建军大业,8.35,33,17,2.1,15807,31,2017-07-27
8,9,十万个冷笑话2,7.85,31,15,1.7,12589,14,2017-08-18
9,10,鲛珠传,6.47,35,14,1.5,11341,21,2017-08-11
10,999,其他,,33,12,9.1,66715,,
