,0,1
0,22咖啡色,棕色
1,02粉色,粉色
2,071蓝色,蓝色
3,071黑色,黑色
4,071肤色,肤色
5,0993无痕肤色,肤色
6,0993无痕黑色,黑色
7,071红色,红色
8,0993无痕酒红色,红色
9,h03无痕蓝灰,蓝色
10,蓝灰色,蓝色
11,酒红色,红色
12,内裤酒红色,红色
13,内裤蓝灰色,蓝色
14,,
15,肤色,肤色
16,藕荷色,粉色
17,藕荷色(套装),粉色
18,玫瑰色,红色
19,深蓝色,蓝色
20,烟灰紫,紫色
21,天蓝色,蓝色
22,黑色,黑色
23,红色,红色
24,香妃红,红色
25,杏肤色,肤色
26,诱惑黑,黑色
27,土豪金,黄色
28,大红,红色
29,嫣紫,紫色
30,皇家蓝,蓝色
31,粉晶色,粉色
32,柔肤色,肤色
33,蓝灰,蓝色
34,大红色,红色
35,紫色无钢圈厚杯,紫色
36,肤色无钢圈厚杯,肤色
37,黑色无钢圈厚杯,黑色
38,紫色套装,紫色
39,爱心大红色,红色
40,肤色套装,肤色
41,爱心肤色,肤色
42,爱心黑色,黑色
43,紫色 单件,紫色
44,紫色 套装,紫色
45,肤色 单件,肤色
46,黑色 单价,黑色
47,肤色 套装,肤色
48,黑色 套装,黑色
49,浅紫色,紫色
50,内裤黑色,黑色
51,内裤肤色,肤色
52,浅蓝,蓝色
53,浅黄,黄色
54,宝蓝色,蓝色
55,酒红,红色
56,灰色,灰色
57,浅粉色,粉色
58,醇黑,黑色
59,红条纹,红色
60,蓝色,蓝色
61,蓝条纹,蓝色
62,PNK,粉色
63,LAV,紫色
64,BLK,黑色
65,GRN,绿色
66,浅紫色  ,紫色
67,肤色    ,肤色
68,浅紫色 ,紫色
69,肤色 ,肤色
70,枚红色 ,红色
71,粉色,粉色
72,蓝色  ,蓝色
73,西瓜红,红色
74,银灰色,灰色
75,天蓝色  ,蓝色
76,8626黑色,黑色
77,红色 ,红色
78,国色天香 红色【厚】,红色
79,磁石款  黑色【薄】,黑色
80,磁石款  肤色【薄】,肤色
81,磁石款 肤色【薄】,肤色
82,美背款 粉色【厚】,粉色
83,磁石款  粉色【厚】,粉色
84,经典款 粉色【薄】,粉色
85,磁石款 黑色【薄】,黑色
86,磁石款 肤色【厚】,肤色
87,国色天香 黑色【厚】,黑色
88,磁石款  红色【厚】,红色
89,磁石款 粉色【薄】,粉色
90,"天衣无缝 黑色【AB厚,C薄】",黑色
91,美背款 黑色【厚】,黑色
92,磁石款  黑色【厚】,黑色
93,国色天香 深紫【厚】,紫色
94,经典款 粉色【厚】,粉色
95,经典款 肤色【厚】,肤色
96,磁石款  蓝色【厚】,蓝色
97,经典款 黑色【厚】,黑色
98,经典款 黑色【薄】,黑色
99,国色天香 粉色【厚】,粉色
100,"天衣无缝 粉色【AB厚,C薄】",粉色
101,经典款 肤色【薄】,肤色
102,"天衣无缝 肤色【AB厚,C薄】",肤色
103,粉红色,粉色
104,碧绿色,绿色
105,嫩黄色,黄色
106,紫兰,紫色
107,粉色 单件,粉色
108,粉色 套装,粉色
109,蓝色 套装,蓝色
110,大红色 套装,红色
111,大红色 单件,红色
112,黑色 单件,黑色
113,蓝色 单件,蓝色
114,浅紫,紫色
115,紫色套装（其他颜色备注）,紫色
116,粉色套装（含内裤）,粉色
117,虾粉,粉色
