name,ageable,alcohol_%,avg_rating_%,color,description,drink_now,keep_2_3_years,n_votes,price,tags,url,year
Riesling Spatlese 2013,False,8.5,,Λευκός,"Κάποια από τα Riesling του Rheingau της Γερμανίας, συγκαταλέγονται ανάμεσα στα καλύτερα λευκά κρασιά του πλανήτη και όταν πρόκειται για κρασιά από το Weingut Robert Weil, ένα από τα πιο σημαντικά οινοποιεία της περιοχής, που διαθέτεις 90 εκτάρια αμπελώνων, όλα φυτεμένα με Riesling, τότε σίγουρα μιλάμε για σπουδαία κρασιά! Πολλοί στο άκουσμα της λέξεις ‘ημίγλυκο’, κρατάνε αρνητική στάση! Όταν όμως έχουμε ένα Riesling Spatlese, που σημαίνει ότι τα σταφύλια έχουν τρυγηθεί όψιμα, τα δεδομένα ανατρέπονται! Έντονα αρωματικό αλλά εντυπωσιακά κομψό με το χαμηλό αλκοόλ, την μέτρια γλυκύτητα και την τραγανή οξύτητα να δημιουργούν ένα ιντριγκαδόρικο σύνολο που θα λυγίσει όλους τους εχθρούς της γλυκύτητας.",False,True,,33.7,"['Riesling', 'Ήπιος', 'Ημίγλυκος']",http://www.houseofwine.gr/how/riesling-spatlese-4828.html,2013.0
Spy Valley - Sauvignon Blanc 2016,False,13.5,,Λευκός,"Τυπικό Νέο-Ζηλανδέζικο Sauvignon Blanc από έναν πολύ καλό οίκο της χώρας. Όμορφα πράσινα φυτικά αρώματα σε μύτη και στόμα, ευχάριστη οξύτητα και πολύ καλή διάρκεια συνθέτουν μία εξαιρετική επιλογή για όσους αγαπούν τη Νέο-Ζηλανδέζικη ""σχολή"" στο Sauvignon Blanc. Το βιδωτό του πώμα θα διαφυλάξει τη φρεσκάδα του μέχρι να το ανοίξετε, αλλά και θα σας επιτρέψει να το συντηρήσετε (και) σε όρθια θέση.",True,False,,18.3,"['Ήπιος', 'Sauvignon Blanc', 'Ξηρός']",http://www.houseofwine.gr/how/spy-valley-sauvignon-blanc-2293.html,2016.0
Cava Χρυσοχόου 2008,True,13.0,,Ερυθρός,"Η κορωνίδα του Κτήματος Χρυσοχόου και ταυτόχρονα ένα μοντέρνο κρασί, από τα σπουδαία αμπελοτόπια της Νάουσας! Ένα από τα πιο ενδιαφέροντα χαρμάνια του Ξινόμαυρου με σχεδόν μία δεκαετία στην πλάτη του. Το Merlot τιθασεύει το αυστηρό Ξινόμαυρο χαρίζοντας του χρωματική ένταση και ακόμα πιο πολύπλοκο χαρακτήρα. Από εκεί αναλαμβάνουν ο χρόνος και το βαρέλι να μαλακώσουν και να μεστώσουν το χαρμάνι, οδηγώντας σε ένα εξαιρετικά σύνθετο σύνολο.",False,False,,25.0,"['Ήπιος', 'Ξηρός', 'Ξινόμαυρο', 'Merlot']",http://www.houseofwine.gr/how/cava-hrysohoou.html,2008.0
Κτήμα Γεροβασιλείου - Λευκός 2016,False,12.5,90,Λευκός,"Ένα από τα δημοφιλέστερα λευκά κρασιά στην Ελληνική αγορά. Προκύπτει από το πάντρεμα δύο εξαιρετικών Ελληνικών ποικιλιών, την Μαλαγουζιά, που διακρίνεται για την φινετσάτη αρωματικότητά της, και το Ασύρτικο, που χαρακτηρίζεται από μεταλλικότητα και εκρηκτική οξύτητα. Το αποτέλεσμα: δροσιστικό, κομψό, απολαυστικό.",True,False,27,12.1,"['Ήπιος', 'Ξηρός', 'Ασύρτικο', 'Μαλαγουζιά']",http://www.houseofwine.gr/how/ktima-gerovasileiou-leyko.html,2016.0
Landskroon - Pinotage 2013,False,13.5,,Ερυθρός,"Εισαγωγή στα κρασιά από τη γηγενή ποικιλία της Ν. Αφρικής, το Pinotage. Εύκολο, καθημερινό κρασί για το τραπέζι, με ευχάριστη αρωματικότητα και ευγενείς τανίνες.",False,True,,13.1,"['Ήπιος', 'Ξηρός', 'Pinotage']",http://www.houseofwine.gr/how/landskroon-pinotage.html,2013.0
Karipidis - Sangiovese 2010,True,14.0,81,Ερυθρός,Πικάντικο και ζωντανό ερυθρό κρασί με στρογγυλές τανίνες και σωστή αίσθηση στο στόμα. Διακριτική αλλά πολύτιμη η παρουσία της δρυός του βαρελιού. Οι φανς της δημοφιλούς Τοσκανέζικης ποικιλίας αξίζει να εμβαθύνουν στην ετικέτα αυτή.,False,False,17,16.2,"['Ήπιος', 'Sangiovese', 'Ξηρός']",http://www.houseofwine.gr/how/sangiovese.html,2010.0
Κτήμα Βογιατζή - Ξινόμαυρο 2013,True,13.0,81,Ερυθρός,"Τυπικότητα, ακρίβεια και κομψότητα σε ένα Ξινόμαυρο  από τον απομονωμένο κλώνο του Βελβεντού, το οποίο επιθυμεί διακαώς για τη λίστα του ο head sommelier του περίφημου εστιατορίου Fat Duck. Σύνθετο και πολυεπίπεδο ταυτόχρονα, χωρίς ίχνος υπερβολής ή εύκολου εντυπωσιασμού. Ένα κρασί για φανατικούς λάτρεις του μοναδικού χαρακτήρα του Ξινόμαυρου.",False,False,14,13.1,"['Ήπιος', 'Ξηρός', 'Ξινόμαυρο']",http://www.houseofwine.gr/how/ktima-vogiatzi-xinomayro.html,2013.0
Ψίθυρος Ερυθρός 2010,True,5.0,,Ερυθρός,"Πολύ ενδιαφέρον χαρμάνι από τις κρητικές ποικιλίες Κοτσιφάλι, Λιάτικο μαζί με το διεθνές Merlot και το οινοποιείο της Silva Δασκαλάκη. Ώριμα αρώματα κερασιού και βύσσινου στη μύτη σε σχεδόν μορφή μαρμελάδας οδηγούν σε ένα πλούσιο στόμα με μαλακές αν και άφθονες τανίνες. Χωρίς να έχει την ένταση του Ένστικτου, ο Ψίθυρος χαρίζει απόλαυση σε εξαιρετική σχέση ποιότητας-τιμής.",False,False,,10.8,"['Cabernet Sauvignon', 'Ήπιος', '13', 'Ξηρός', 'Merlot', 'Λιάτικο']",http://www.houseofwine.gr/how/psithyros-erythros.html,2010.0
CaraMELO - Λευκός 2010,False,10.0,,Λευκός,Ένα κρασί για νέους αλλά και για όσους αισθάνονται νέοι...,False,False,,8.7,"['Ήπιος', 'Γλυκός']",http://www.houseofwine.gr/how/caramelo-leykos-1885.html,2010.0
Σιγάλας - Αηδάνι 2017,False,13.0,81,Λευκός,"Περπατώντας σε απάτητα, σχεδόν ανεξερεύνητα μονοπάτια, αφού σπανίως το Αηδάνι συναντάται ως μονοποικιλιακό κρασί, δημιουργείται η αίσθηση ότι κάθε γωνιά του Ελληνικού αμπελώνα προσφέρει ευκαιρίες για φοβερές οινικές ανακαλύψεις. Διαθέτοντας μέρος από την ορυκτότητα του Ασύρτικου, φυτικές νύξεις, και γενναιόδωρες δόσεις φρούτου, μας κάνει να αναρωτιόμαστε τι άλλες εκπλήξεις μπορεί να κρύβει το μαγικό terroir της Σαντορίνης.",False,True,14,24.4,"['Ήπιος', 'Αηδάνι', 'Ξηρός']",http://www.houseofwine.gr/how/sigalas-aidani.html,2017.0
