Name,number
中华人民共和国,1386800000
印度,1339000000
美國,326360000
印尼,265600000
巴西,208320000
 巴基斯坦,199160000
 奈及利亞,193960000
 孟加拉国,165660000
 俄羅斯[註 2],146530000
 墨西哥,131260000
 日本,126720000
 衣索比亞,105480000
 菲律賓,104550000
 埃及,96000000
 越南,95923000
 刚果（金）,83029000
 土耳其,81877000
 伊朗,81485000
 德國,81344000
 泰國,68575000
 英國,65685000
 法国[註 3],65086000
 義大利,59915000
 坦桑尼亚,57449000
 南非,55912000
 緬甸,54927000
 韩国,50879000
 肯尼亚,48933000
 哥伦比亚,48304000
 西班牙[註 4],45917000
 阿根廷,44484000
 烏克蘭[註 5],42328000
 苏丹,42267000
 乌干达,42029000
 阿尔及利亚,41470000
 伊拉克,39272000
 波蘭,38637000
 加拿大,36826000
 摩洛哥[註 6],35489000
 阿富汗,34875000
 沙烏地阿拉伯,33295000
 秘魯,32356000
 委內瑞拉,32148000
 马来西亚,32200000
 乌兹别克斯坦,30957000
 莫桑比克,29825000
 尼泊尔,29307000
 加纳,28966000
 葉門,28473000
 安哥拉,26967000
 马达加斯加,25826000
 朝鲜,25470000
 澳大利亚[註 7],24736000
 喀麦隆,24726000
 科特迪瓦,23981000
 中華民國[註 8],23562000
 斯里蘭卡,20964000
 尼日尔,21760000
 布吉納法索,19359000
 羅馬尼亞,19139000
 马里,18831000
 马拉维,18453000
 智利,18402000
 哈萨克斯坦,18278000
 叙利亚,17442000
 尚比亞,17372000
 危地马拉,17145000
 荷蘭,17065000
 厄瓜多尔,16740000
 辛巴威,16404000
 塞内加尔,16234000
 柬埔寨,16174000
 乍得,15131000
 南蘇丹,13560000
 几内亚,13413000
 卢旺达,12271000
 布隆迪,12057000
 贝宁,11572000
 突尼西亞,11552000
 比利時,11477000
 古巴,11431000
 索馬利亞[註 9],11379000
 玻利维亚,11121000
 海地,11061000
 希臘,10851000
 多米尼加,10838000
 捷克,10564000
 葡萄牙,10243000
 阿塞拜疆,10078000
 约旦,9962415
 瑞典,9957503
 匈牙利,9787820
 阿联酋,9585591
 白俄羅斯,9500152
 塔吉克斯坦,8894950
 奥地利,8612812
 瑞士,8511887
 以色列,8358851
 洪都拉斯,8333988
 巴布亚新几内亚,7974337
 多哥,7728312
 香港,7389500
 塞爾維亞[註 10],7058332
 老挝,7045968
 保加利亚,7040532
 巴拉圭,6832145
 塞拉利昂,6764903
 利比亞,6275403
 尼加拉瓜,6236813
 薩爾瓦多,6164535
 吉尔吉斯斯坦,6155516
 新加坡,5848598
 丹麥,5721654
 芬兰[註 11],5518408
 厄立特里亚,5471017
 斯洛伐克,5432900
 土库曼斯坦,5412600
 挪威[註 12],5258317
 哥斯达黎加,5061900
中非,4926400
 刚果（布）,4850500
 愛爾蘭,4842100
 利比里亚,4749100
 巴勒斯坦[註 13],4705200
 新西蘭,4648500
 黎巴嫩,4468300
 格鲁吉亚[註 14],4432500
 克罗地亚,4254600
 毛里塔尼亚,4165800
 巴拿马,4025600
波赫,3835300
 波多黎各,3704500
 阿曼,3590500
 摩尔多瓦[註 15],3549400
 科威特,3533300
 乌拉圭,3426800
 阿尔巴尼亚,3195900
 蒙古,3060100
 亞美尼亞,2976600
 立陶宛,2954900
 牙买加,2788000
 纳米比亚,2339400
 博茨瓦纳,2140100
 馬其頓,2126600
 卡塔尔,2117900
 賴索托,2078900
 斯洛維尼亞,2043700
 拉脫維亞,1986100
 冈比亚,1969300
 科索沃,1852400
 几内亚比绍,1799900
 加彭,1767200
 巴林,1472600
 千里達及托巴哥,1332700
 模里西斯,1329600
 东帝汶,1309100
 爱沙尼亚,1303600
 斯威士兰,1291300
 賽普勒斯[註 16],1203900
 吉布提,939250
 斐济,902980
 赤道几内亚,817240
 科摩罗,798120
 圭亚那,781450
 不丹,778130
 澳門,648300
撒拉威阿拉伯民主共和國,638760
 蒙特內哥羅,604250
 所罗门群岛,600090
 苏里南,558200
 卢森堡,555700
 佛得角,523670
 文莱,441220
 馬爾他,425800
 巴哈马,385880
 伯利兹,351560
 馬爾地夫,336410
 冰島,329610
 巴巴多斯,287390
 瓦努阿圖,260820
 聖多美和普林西比,204030
 萨摩亚,193470
 圣卢西亚,183680
 關島,171540
 库拉索,160337
 阿鲁巴,108400
 聖文森及格瑞那丁,107940
 格瑞那達,107830
 汤加,105970
 基里巴斯,105920
 美屬維爾京群島,104930
 密克羅尼西亞聯邦,102100
 澤西,104200
 安地卡及巴布達,93758
 塞舌尔,91689
 曼島,88471
 安道尔,79403
 多米尼克,72297
 百慕大,66364
 开曼群岛,63021
 根西,62821
 美属萨摩亚,57850
 格陵兰,56922
 马绍尔群岛,56787
 圣基茨和尼维斯,55368
 法罗群岛,50361
 北馬里亞納群島,45259
 荷屬聖馬丁,39410
 列支敦斯登,37623
 摩納哥,38035
 特克斯和凯科斯群岛,37191
 圣马力诺,32130
 直布罗陀,29855
 英屬維爾京群島,27674
 帛琉,21763
 安圭拉,16807
 庫克群島,13238
 瑙鲁,10307
 图瓦卢,10140
 蒙特塞拉特,5144
 聖赫勒拿,4131
 福克蘭群島[註 17],3000
 纽埃,1614
 托克勞,1499
 梵蒂冈,842
 科科斯（基林）群島,596
 皮特凯恩群岛,56
 馬爾他騎士團,3
