数据库：主要城市年度数据
指标：国内生产总值(亿元)
时间：最近5年
地区,2015年,2014年,2013年,2012年,2011年
北京,23014.59,21330.83,19800.81,17879.40,16251.93
天津,16538.19,15726.93,14442.01,12893.88,11307.28
石家庄,5440.60,5170.27,4863.66,4500.20,4082.68
太原,2735.34,2531.09,2412.87,2311.40,2080.12
呼和浩特,3090.52,2894.05,2710.39,2475.60,2177.27
沈阳,7272.31,7098.71,7158.57,6602.60,5915.71
大连,7731.64,7655.58,7650.79,7002.80,6150.63
长春,5530.03,5342.43,5003.18,4456.60,4003.08
哈尔滨,5751.21,5340.07,5017.05,4550.20,4242.19
上海,25123.45,23567.70,21818.15,20181.72,19195.69
南京,9720.77,8820.75,8011.78,7201.60,6145.52
杭州,10050.21,9206.16,8343.52,7802.00,7019.06
宁波,8003.61,7610.28,7128.87,6582.20,6059.24
合肥,5660.27,5157.97,4672.91,4164.30,3636.60
福州,5618.08,5169.16,4678.50,4218.30,3736.38
厦门,3466.03,3273.58,3018.16,2817.10,2539.31
南昌,4000.01,3667.96,3336.03,3000.50,2688.87
济南,6100.23,5770.60,5230.19,4803.70,4406.29
青岛,9300.07,8692.10,8006.60,7302.10,6615.60
郑州,7311.52,6776.99,6201.90,5549.80,4979.85
武汉,10905.60,10069.48,9051.27,8003.80,6762.20
长沙,8510.13,7824.81,7153.13,6399.90,5619.33
广州,18100.41,16706.87,15420.14,13551.20,12423.44
深圳,17502.86,16001.82,14500.23,12950.10,11505.53
南宁,3410.09,3148.30,2803.54,2503.20,2211.40
海口,1161.96,1091.70,904.64,818.80,713.30
重庆,15717.27,14262.60,12783.26,11409.60,10011.37
成都,10801.16,10056.59,9108.89,8138.90,6854.58
贵阳,2891.16,2497.27,2085.42,1700.30,1383.07
昆明,3968.01,3712.99,3415.31,3011.10,2509.58
拉萨,376.73,347.45,304.87,260.10,222.42
西安,5801.20,5492.64,4884.13,4366.10,3864.21
兰州,2095.99,2000.94,1776.28,1563.80,1360.03
西宁,1131.62,1065.78,978.53,851.10,770.70
银川,1493.86,1388.62,1289.02,1150.90,986.68
乌鲁木齐,2631.64,2461.47,2202.85,2004.10,1690.03
数据来源：国家统计局
